What is translate for the Sanskrit word bitumen?,304,"Magadha (Sanskrit: मगध) formed one of the sixteen Mahā-Janapadas (Sanskrit: ""Great Countries"") or kingdoms in ancient India."
During what period was bitumen used in printing processes?,177,In the first stage the information must be changed so that it may be put into the encoding process.
Who referred to culture as a cultivation of individuals?,297,"For Georg Simmel (1858–1918), culture referred to ""the cultivation of individuals through the agency of external forms which have been objectified in the course of history""."
What did Alan Blumlein invent?,282,"The ultimately dominant ""45/45"" stereophonic record system was invented by Alan Blumlein of EMI in 1931 and patented the same year."
When did the bureau announce Robert Hanssen's arrest?,151,"On 20 February 2001, the bureau announced that a special agent, Robert Hanssen (born 1944) had been arrested for spying for the Soviet Union and then Russia from 1979 to 2001."
What is the Swiss private-public managed road network funded by?,247,Swiss private-public managed road network is funded by road tolls and vehicle taxes.
What is the biggest lake in Switzerland?,247,"The largest lake is Lake Geneva, in western Switzerland shared with France."
What century had forgotten early comics forms rediscovered?,304,"Early ""republics"" such as the Vajji (or Vriji) confederation centered in the city of Vaishali, existed as early as the 6th century BCE and persisted in some areas until the 4th century CE."
When did Marvel withdraw from the Comics Code Authority?,220,"In 2001, Marvel withdrew from the Comics Code Authority and established its own Marvel Rating System for comics."
What is Marvel's most successful book?,220,"This applied to The Amazing Spider-Man title in particular, which turned out to be Marvel's most successful book."
Who refused an invitation by the Hongwu Emperor?,6,"On March 10, 1403, the Yongle Emperor invited Deshin Shekpa, 5th Karmapa Lama (1384–1415), to his court, even though the fourth Karmapa had rejected the invitation of the Hongwu Emperor."
Who discovered mevastatin?,179,"Mevastatin was never marketed, because of its adverse effects of tumors, muscle deterioration, and sometimes death in laboratory dogs."
When was Enovid authorized?,179,"Based on fundamental research performed by Gregory Pincus and synthetic methods for progesterone developed by Carl Djerassi at Syntex and by Frank Colton at G.D. Searle & Co., the first oral contraceptive, Enovid, was developed by E.D."
In what city was Richard Phillips Feynman born?,360,"Richard Phillips Feynman was born on May 11, 1918, in Queens, New York City, the son of Lucille (née Phillips), a homemaker, and Melville Arthur Feynman, a sales manager."
Who was Spain's 18th Prime Minister?,160,"During the regency of Maria Cristina, Espartero ruled Spain for two years as its 18th Prime Minister from 16 September 1840 to 21 May 1841."
Who helped Bell start hydrofoils experiment?,56,This led him and Bell to the development of practical hydrofoil watercraft.
What is expected to have a consequence on migration timing?,109,The timing of migration seems to be controlled primarily by changes in day length.
What free flying sports event did Brasilia hold in 2003?,428,"In 2003, Brasília hosted the 14th Hang Gliding World Championship, one of the categories of free flying."
What was the most serious instance of child labour?,273,"They suggest that child labour is a serious problem in all five, but it is not a new problem."
What caused child labour to decrease in Vietnam?,273,"Edmonds suggests, even in contemporary times, the incidence of child labour in Vietnam has rapidly reduced following economic reforms and GDP growth."
When was East and West Prussia first united?,342,"East and West Prussia were first united in personal union in 1824, and then merged in a real union in 1829 to form the Province of Prussia."
Who is a House Master?,288,"It is generally known by the boys by the initials or surname of the House Master, the teacher who lives in the house and manages the pupils in it."
Who does the evaluations for drugs in the United Kingdom?,179,"Since 2001, the Center for Drug Evaluation and Research has averaged 22.9 approvals a year."
When was hydralazine discovered?,179,"In 1952 researchers at Ciba discovered the first orally available vasodilator, hydralazine."
What virus caused tumors in many mammals?,179,"In 1960 Maurice Hilleman of Merck Sharp & Dohme identified the SV40 virus, which was later shown to cause tumors in many mammalian species."
What is the name of lateral-cut disc records?,282,"By 1919 the basic patents for the manufacture of lateral-cut disc records had expired, opening the field for countless companies to produce them."
What is the goal of the NIBRS?,304,"The British goal was said to be for efficient administration but the people of Bengal were outraged at the apparent ""divide and rule"" strategy."
Who killed Filiberto Ojeda RÃ­os?,151,"In 2005, fugitive Puerto Rican Nationalist leader Filiberto Ojeda Ríos died in a gun battle with FBI agents in 2005 in what some charged was an assassination."
Who designed the learning buildings at Eton?,56,Pinaud's experience in boat-building enabled him to make useful design changes to the HD-4.
What compound was discovered to induce sleep?,177,"One of the primary functions of sleep is thought to be the improvement of the consolidation of information, as several studies have demonstrated that memory depends on getting sufficient sleep between training and test."
