,,S,1,,2,,3
What is translate for the Sanskrit word bitumen?,181,O,"The expression ""bitumen"" originated in the Sanskrit, where we find the words jatu, meaning ""pitch,"" and jatu-krit, meaning ""pitch creating"", ""pitch producing"" (referring to coniferous or resinous trees).",X,"Magadha (Sanskrit: मगध) formed one of the sixteen Mahā-Janapadas (Sanskrit: ""Great Countries"") or kingdoms in ancient India.",O,"The expression ""bitumen"" originated in the Sanskrit, where we find the words jatu, meaning ""pitch,"" and jatu-krit, meaning ""pitch creating"", ""pitch producing"" (referring to coniferous or resinous trees)."
During what period was bitumen used in printing processes?,181,O,"Many hours of exposure in the camera were required, making bitumen impractical for ordinary photography, but from the 1850s to the 1920s it was in common use as a photoresist in the production of printing plates for various photomechanical printing processes.",X,In the first stage the information must be changed so that it may be put into the encoding process.,O,"Many hours of exposure in the camera were required, making bitumen impractical for ordinary photography, but from the 1850s to the 1920s it was in common use as a photoresist in the production of printing plates for various photomechanical printing processes."
Who referred to culture as a cultivation of individuals?,297,O,"For Georg Simmel (1858–1918), culture referred to ""the cultivation of individuals through the agency of external forms which have been objectified in the course of history"".",O,"For Georg Simmel (1858–1918), culture referred to ""the cultivation of individuals through the agency of external forms which have been objectified in the course of history"".",O,"For Georg Simmel (1858–1918), culture referred to ""the cultivation of individuals through the agency of external forms which have been objectified in the course of history""."
What did Alan Blumlein invent?,282,O,"The ultimately dominant ""45/45"" stereophonic record system was invented by Alan Blumlein of EMI in 1931 and patented the same year.",O,"The ultimately dominant ""45/45"" stereophonic record system was invented by Alan Blumlein of EMI in 1931 and patented the same year.",O,"The ultimately dominant ""45/45"" stereophonic record system was invented by Alan Blumlein of EMI in 1931 and patented the same year."
When did the bureau announce Robert Hanssen's arrest?,151,O,"On 20 February 2001, the bureau announced that a special agent, Robert Hanssen (born 1944) had been arrested for spying for the Soviet Union and then Russia from 1979 to 2001.",O,"On 20 February 2001, the bureau announced that a special agent, Robert Hanssen (born 1944) had been arrested for spying for the Soviet Union and then Russia from 1979 to 2001.",O,"On 20 February 2001, the bureau announced that a special agent, Robert Hanssen (born 1944) had been arrested for spying for the Soviet Union and then Russia from 1979 to 2001."
What is the Swiss private-public managed road network funded by?,247,O,Swiss private-public managed road network is funded by road tolls and vehicle taxes.,O,Swiss private-public managed road network is funded by road tolls and vehicle taxes.,O,Swiss private-public managed road network is funded by road tolls and vehicle taxes.
What is the biggest lake in Switzerland?,247,X,"Switzerland has more than 1500 lakes, and contains 6% of Europe's stock of fresh water.",O,"The largest lake is Lake Geneva, in western Switzerland shared with France.",X,"The largest lake is Lake Geneva, in western Switzerland shared with France."
What century had forgotten early comics forms rediscovered?,58,O,"Towards the close of the 20th century, different cultures' discoveries of each other's comics traditions, the rediscovery of forgotten early comics forms, and the rise of new forms made defining comics a more complicated task.",X,"Early ""republics"" such as the Vajji (or Vriji) confederation centered in the city of Vaishali, existed as early as the 6th century BCE and persisted in some areas until the 4th century CE.",O,"Towards the close of the 20th century, different cultures' discoveries of each other's comics traditions, the rediscovery of forgotten early comics forms, and the rise of new forms made defining comics a more complicated task."
When did Marvel withdraw from the Comics Code Authority?,220,O,"In 2001, Marvel withdrew from the Comics Code Authority and established its own Marvel Rating System for comics.",O,"In 2001, Marvel withdrew from the Comics Code Authority and established its own Marvel Rating System for comics.",O,"In 2001, Marvel withdrew from the Comics Code Authority and established its own Marvel Rating System for comics."
What is Marvel's most successful book?,220,O,"This applied to The Amazing Spider-Man title in particular, which turned out to be Marvel's most successful book.",O,"This applied to The Amazing Spider-Man title in particular, which turned out to be Marvel's most successful book.",X,"Marvel earned a great deal of money and recognition during the comic book boom of the early 1990s, launching the successful 2099 line of comics set in the future (Spider-Man 2099, etc.)"
Who refused an invitation by the Hongwu Emperor?,6,U,"Rolpe Dorje, 4th Karmapa Lama (1340–1383) rejected the Hongwu Emperor's invitation, although he did send some disciples as envoys to the court in Nanjing.",U,"On March 10, 1403, the Yongle Emperor invited Deshin Shekpa, 5th Karmapa Lama (1384–1415), to his court, even though the fourth Karmapa had rejected the invitation of the Hongwu Emperor.",U,"On March 10, 1403, the Yongle Emperor invited Deshin Shekpa, 5th Karmapa Lama (1384–1415), to his court, even though the fourth Karmapa had rejected the invitation of the Hongwu Emperor."
Who discovered mevastatin?,179,X,"By the 1890s the profound effect of adrenal extracts on many different tissue types had been discovered, setting off a search both for the mechanism of chemical signalling and efforts to exploit these observations for the development of new drugs.",X,"Mevastatin was never marketed, because of its adverse effects of tumors, muscle deterioration, and sometimes death in laboratory dogs.",X,"Mevastatin was never marketed, because of its adverse effects of tumors, muscle deterioration, and sometimes death in laboratory dogs."
When was Enovid authorized?,179,O,"Based on fundamental research performed by Gregory Pincus and synthetic methods for progesterone developed by Carl Djerassi at Syntex and by Frank Colton at G.D. Searle & Co., the first oral contraceptive, Enovid, was developed by E.D.",O,"Based on fundamental research performed by Gregory Pincus and synthetic methods for progesterone developed by Carl Djerassi at Syntex and by Frank Colton at G.D. Searle & Co., the first oral contraceptive, Enovid, was developed by E.D.",O,"When authorized, he activated a combined U.S. Army and Marine Corps, and ROK Army force."
In what city was Richard Phillips Feynman born?,360,O,"Richard Phillips Feynman was born on May 11, 1918, in Queens, New York City, the son of Lucille (née Phillips), a homemaker, and Melville Arthur Feynman, a sales manager.",O,"Richard Phillips Feynman was born on May 11, 1918, in Queens, New York City, the son of Lucille (née Phillips), a homemaker, and Melville Arthur Feynman, a sales manager.",O,"Richard Phillips Feynman was born on May 11, 1918, in Queens, New York City, the son of Lucille (née Phillips), a homemaker, and Melville Arthur Feynman, a sales manager."
Who was Spain's 18th Prime Minister?,160,O,"During the regency of Maria Cristina, Espartero ruled Spain for two years as its 18th Prime Minister from 16 September 1840 to 21 May 1841.",O,"During the regency of Maria Cristina, Espartero ruled Spain for two years as its 18th Prime Minister from 16 September 1840 to 21 May 1841.",O,"During the regency of Maria Cristina, Espartero ruled Spain for two years as its 18th Prime Minister from 16 September 1840 to 21 May 1841."
Who helped Bell start hydrofoils experiment?,56,X,His research on hearing and speech further led him to experiment with hearing devices which eventually culminated in Bell being awarded the first U.S. patent for the telephone in 1876.,O,This led him and Bell to the development of practical hydrofoil watercraft.,X,"While days and evenings were occupied by his teaching and private classes, Bell began to stay awake late into the night, running experiment after experiment in rented facilities at his boarding house."
What is expected to have a consequence on migration timing?,109,U,"Large scale climatic changes, as have been experienced in the past, are expected to have an effect on the timing of migration.",U,The timing of migration seems to be controlled primarily by changes in day length.,U,"Large scale climatic changes, as have been experienced in the past, are expected to have an effect on the timing of migration."
What free flying sports event did Brasilia hold in 2003?,428,O,"In 2003, Brasília hosted the 14th Hang Gliding World Championship, one of the categories of free flying.",O,"In 2003, Brasília hosted the 14th Hang Gliding World Championship, one of the categories of free flying.",O,"In 2003, Brasília hosted the 14th Hang Gliding World Championship, one of the categories of free flying."
What was the most serious instance of child labour?,273,X,"Child labour refers to the employment of children in any work that deprives children of their childhood, interferes with their ability to attend regular school, and that is mentally, physically, socially or morally dangerous and harmful.",X,"They suggest that child labour is a serious problem in all five, but it is not a new problem.",X,"They suggest that child labour is a serious problem in all five, but it is not a new problem."
What caused child labour to decrease in Vietnam?,273,O,"Edmonds suggests, even in contemporary times, the incidence of child labour in Vietnam has rapidly reduced following economic reforms and GDP growth.",O,"Edmonds suggests, even in contemporary times, the incidence of child labour in Vietnam has rapidly reduced following economic reforms and GDP growth.",O,"Edmonds suggests, even in contemporary times, the incidence of child labour in Vietnam has rapidly reduced following economic reforms and GDP growth."
When was East and West Prussia first united?,342,O,"East and West Prussia were first united in personal union in 1824, and then merged in a real union in 1829 to form the Province of Prussia.",O,"East and West Prussia were first united in personal union in 1824, and then merged in a real union in 1829 to form the Province of Prussia.",O,"East and West Prussia were first united in personal union in 1824, and then merged in a real union in 1829 to form the Province of Prussia."
Who is a House Master?,288,O,"It is generally known by the boys by the initials or surname of the House Master, the teacher who lives in the house and manages the pupils in it.",O,"It is generally known by the boys by the initials or surname of the House Master, the teacher who lives in the house and manages the pupils in it.",O,"It is generally known by the boys by the initials or surname of the House Master, the teacher who lives in the house and manages the pupils in it."
Who does the evaluations for drugs in the United Kingdom?,285,X,"For example, in the United Kingdom and Australia membership of the two main parties in 2006 is less than an 1/8 of what it was in 1950, despite significant increases in population over that period.",U,"Since 2001, the Center for Drug Evaluation and Research has averaged 22.9 approvals a year.",X,Burma's education system is modelled after that of the United Kingdom.
